"iso","alert__year","alert__week","alert__count","confidence__cat"
"MDG",2021,19,84,"h"
"MDG",2022,21,48,"h"
"MDG",2023,14,6,"h"
"MDG",2020,53,11,"h"
"MDG",2021,32,415,"h"
"MDG",2016,37,853,"h"
"MDG",2016,19,485,"h"
"MDG",2015,22,178,"h"
"MDG",2015,3,2,"h"
"MDG",2016,13,6,"h"
"MDG",2014,10,4,"h"
"MDG",2022,1,20,"h"
"MDG",2014,35,440,"h"
"MDG",2019,39,596,"h"
"MDG",2022,16,17,"h"
"MDG",2022,25,324,"h"
"MDG",2023,30,281,"h"
"MDG",2013,42,1802,"h"
"MDG",2014,22,315,"h"
"MDG",2012,5,5,"h"
"MDG",2012,7,6,"h"
"MDG",2012,24,96,"h"
"MDG",2021,13,5,"h"
"MDG",2016,42,1831,"h"
"MDG",2012,48,218,"h"
"MDG",2019,43,2362,"h"
"MDG",2012,45,657,"h"
"MDG",2015,26,182,"h"
"MDG",2014,44,1962,"h"
"MDG",2021,7,3,"h"
"MDG",2022,19,67,"h"
"MDG",2020,41,609,"h"
"MDG",2020,18,166,"h"
"MDG",2019,30,513,"h"
"MDG",2019,42,772,"h"
"MDG",2021,44,1170,"h"
"MDG",2018,12,7,"h"
"MDG",2022,8,1,"h"
"MDG",2021,29,322,"h"
"MDG",2014,47,863,"h"
"MDG",2018,52,45,"h"
"MDG",2018,41,404,"h"
"MDG",2021,52,43,"h"
"MDG",2021,15,9,"h"
"MDG",2020,51,85,"h"
"MDG",2017,52,9,"h"
"MDG",2018,4,19,"h"
"MDG",2017,27,382,"h"
"MDG",2017,45,902,"h"
"MDG",2017,36,1040,"h"
"MDG",2016,3,15,"h"
"MDG",2012,30,300,"h"
"MDG",2021,40,579,"h"
"MDG",2023,24,329,"h"
"MDG",2014,36,343,"h"
"MDG",2021,33,959,"h"
"MDG",2021,8,3,"h"
"MDG",2016,34,928,"h"
"MDG",2019,44,983,"h"
"MDG",2023,1,30,"h"
"MDG",2017,48,163,"h"
"MDG",2013,26,357,"h"
"MDG",2019,25,146,"h"
"MDG",2022,49,128,"h"
"MDG",2023,7,1,"h"
"MDG",2022,24,75,"h"
"MDG",2017,25,147,"h"
"MDG",2018,11,2,"h"
"MDG",2022,27,387,"h"
"MDG",2016,47,626,"h"
"MDG",2013,23,218,"h"
"MDG",2020,52,95,"h"
"MDG",2021,42,1672,"h"
"MDG",2014,27,291,"h"
"MDG",2022,38,562,"h"
"MDG",2012,29,320,"h"
"MDG",2022,9,3,"h"
"MDG",2018,44,881,"h"
"MDG",2014,43,924,"h"
"MDG",2014,32,437,"h"
"MDG",2018,8,1,"h"
"MDG",2016,32,608,"h"
"MDG",2014,17,85,"h"
"MDG",2017,47,143,"h"
"MDG",2012,47,253,"h"
"MDG",2012,15,5,"h"
"MDG",2015,32,501,"h"
"MDG",2015,51,132,"h"
"MDG",2016,21,228,"h"
"MDG",2017,15,18,"h"
"MDG",2019,11,3,"h"
"MDG",2012,37,613,"h"
"MDG",2021,49,466,"h"
"MDG",2017,16,30,"h"
"MDG",2023,38,1276,"h"
"MDG",2013,7,1,"h"
"MDG",2019,12,1,"h"
"MDG",2016,48,212,"h"
"MDG",2012,4,8,"h"
"MDG",2020,5,20,"h"
"MDG",2015,30,668,"h"
"MDG",2015,38,912,"h"
"MDG",2016,50,158,"h"
"MDG",2013,31,602,"h"
"MDG",2018,36,718,"h"
"MDG",2023,26,359,"h"
"MDG",2014,45,846,"h"
"MDG",2018,17,136,"h"
"MDG",2017,17,51,"h"
"MDG",2015,4,23,"h"
"MDG",2020,45,1469,"h"
"MDG",2012,46,711,"h"
"MDG",2018,46,452,"h"
"MDG",2020,6,15,"h"
"MDG",2015,35,492,"h"
"MDG",2019,32,1273,"h"
"MDG",2014,14,15,"h"
"MDG",2018,32,971,"h"
"MDG",2015,29,301,"h"
"MDG",2013,52,109,"h"
"MDG",2020,34,666,"h"
"MDG",2016,25,403,"h"
"MDG",2020,12,17,"h"
"MDG",2013,35,1068,"h"
"MDG",2015,27,426,"h"
"MDG",2013,46,691,"h"
"MDG",2013,3,48,"h"
"MDG",2020,11,9,"h"
"MDG",2013,30,368,"h"
"MDG",2014,15,34,"h"
"MDG",2022,50,37,"h"
"MDG",2023,6,10,"h"
"MDG",2013,49,116,"h"
"MDG",2023,27,275,"h"
"MDG",2014,20,127,"h"
"MDG",2021,23,199,"h"
"MDG",2019,22,128,"h"
"MDG",2021,21,142,"h"
"MDG",2015,52,10,"h"
"MDG",2020,42,781,"h"
"MDG",2021,48,416,"h"
"MDG",2013,47,1081,"h"
